,Date,AAPL,IBM,CSCO,MSFT
0,2000-01-03,111.937502,116.0,108.0625,116.5625
1,2000-01-04,102.500003,112.0625,102.0,112.625
2,2000-01-05,103.999997,116.0,101.6875,113.8125
3,2000-01-06,94.999998,114.0,100.0,110.0
4,2000-01-07,99.500001,113.5,105.875,111.4375
5,2000-01-10,97.750001,118.0,109.8125,112.25
6,2000-01-11,92.75,119.0,106.5,109.375
7,2000-01-12,87.187503,119.5,103.8125,105.8125
8,2000-01-13,96.749998,118.25,106.1875,107.8125
9,2000-01-14,100.437499,119.625,107.5625,112.25
10,2000-01-18,103.937499,115.75,112.0,115.3125
11,2000-01-19,106.562499,119.5,112.3125,107.0
12,2000-01-20,113.499994,119.0,112.375,106.0
13,2000-01-21,111.312501,121.5,115.25,103.75
14,2000-01-24,106.250002,121.5,109.0625,101.25
15,2000-01-25,112.250006,119.125,112.125,102.8125
16,2000-01-26,110.187502,116.75,107.1875,99.375
17,2000-01-27,110.000001,113.5,106.625,98.75
18,2000-01-28,101.625003,111.5625,103.875,98.25
19,2000-01-31,103.749998,112.25,109.5,97.875
20,2000-02-01,100.249998,110.0,117.8125,102.9375
21,2000-02-02,98.812502,113.5,113.875,100.8125
22,2000-02-03,103.312498,117.125,117.8125,103.625
23,2000-02-04,108.000002,115.625,121.125,106.5625
24,2000-02-07,114.062504,114.125,125.1875,106.625
25,2000-02-08,114.875006,118.8125,125.8125,109.9375
26,2000-02-09,112.624994,117.375,128.8125,104.0
27,2000-02-10,113.499994,119.125,135.9375,106.0
28,2000-02-11,108.749999,115.375,130.9375,99.9375
29,2000-02-14,115.812504,116.0625,130.5,99.625
30,2000-02-15,119.0,117.125,128.0,98.5625
31,2000-02-16,114.125002,115.75,127.171883,97.625
32,2000-02-17,114.875006,116.75,130.5,99.625
33,2000-02-18,111.250003,112.5,125.8125,95.0625
34,2000-02-22,113.812498,111.0,123.9375,93.8125
35,2000-02-23,116.250004,108.75,138.625,94.25
36,2000-02-24,115.203104,110.5,137.25,94.75
37,2000-02-25,110.375003,108.0,132.75,91.3125
38,2000-02-28,113.250002,104.5,130.5625,91.5625
39,2000-02-29,114.625,102.75,132.1875,89.375
40,2000-03-01,130.312502,100.25,131.6875,90.8125
41,2000-03-02,122.000002,103.125,132.75,93.375
42,2000-03-03,128.000006,108.0,137.4375,96.125
43,2000-03-06,125.687496,103.0625,136.125,90.625
44,2000-03-07,122.875002,103.0,132.0625,92.875
45,2000-03-08,122.000002,106.25,132.375,95.5625
46,2000-03-09,122.249994,108.0,139.3125,100.0
47,2000-03-10,125.749994,105.25,136.375,101.0
48,2000-03-13,121.312496,107.6875,136.1875,98.0
49,2000-03-14,114.249998,108.625,131.75,95.125
50,2000-03-15,116.250004,107.0,128.625,95.375
51,2000-03-16,121.562502,109.0,131.671875,95.375
52,2000-03-17,125.000004,110.0,135.0,99.375
53,2000-03-20,122.999998,112.75,134.125,97.375
54,2000-03-21,134.937494,113.5,140.859375,102.75
55,2000-03-22,144.187506,114.25,144.375,103.25
56,2000-03-23,141.3125,115.25,77.8125,111.875
57,2000-03-24,138.6875,120.625,79.375,111.6875
58,2000-03-27,139.5625,126.875,80.0625,104.0625
59,2000-03-28,139.125,122.5,77.875,104.3125
60,2000-03-29,135.937504,119.0,76.0625,107.1875
61,2000-03-30,125.749994,122.75,73.625,103.375
62,2000-03-31,135.812494,118.375,77.3125,106.25
63,2000-04-03,133.312504,122.0,72.9375,90.875
64,2000-04-04,127.3125,121.1875,73.125,88.5625
65,2000-04-05,130.375,125.0,72.125,86.375
66,2000-04-06,125.187498,122.75,71.8125,86.0
67,2000-04-07,131.749998,123.125,74.9375,89.0625
68,2000-04-10,125.000004,122.125,72.5625,86.0625
69,2000-04-11,119.4375,119.375,70.0,83.875
70,2000-04-12,109.249997,113.75,65.0,79.375
71,2000-04-13,113.812498,110.625,61.125,79.25
72,2000-04-14,111.874997,105.0,57.0,74.125
73,2000-04-17,123.874998,111.875,66.5,75.875
74,2000-04-18,126.875,111.5,69.25,80.5625
